Driver,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife
ALO,53.0,97.01,31.159,42.135,23.716,HARD,19.0
HAM,53.0,97.988,31.1,42.853,24.035,HARD,23.0
RUS,53.0,97.841,31.065,42.707,24.069,HARD,22.0
SAI,53.0,97.66,31.248,42.531,23.881,HARD,22.0
VER,53.0,96.89,30.906,42.217,23.767,HARD,17.0
ALO,54.0,97.599,31.305,42.469,23.825,HARD,20.0
HAM,54.0,98.076,31.14,42.838,24.098,HARD,24.0
RUS,54.0,97.923,31.192,42.658,24.073,HARD,23.0
SAI,54.0,97.694,31.234,42.543,23.917,HARD,23.0
VER,54.0,96.678,30.988,41.938,23.752,HARD,18.0
ALO,55.0,97.662,31.237,42.575,23.85,HARD,21.0
HAM,55.0,97.955,31.131,42.775,24.049,HARD,25.0
RUS,55.0,97.86,31.118,42.621,24.121,HARD,24.0
SAI,55.0,97.821,31.31,42.638,23.873,HARD,24.0
VER,55.0,96.322,30.964,41.747,23.611,HARD,19.0
ALO,56.0,97.473,31.425,42.157,23.891,HARD,22.0
HAM,56.0,98.111,31.227,42.824,24.06,HARD,26.0
RUS,56.0,97.636,30.961,42.593,24.082,HARD,25.0
SAI,56.0,98.126,31.403,42.736,23.987,HARD,25.0
VER,56.0,97.205,31.091,42.27,23.844,HARD,20.0
ALO,57.0,97.422,31.421,42.088,23.913,HARD,23.0
HAM,57.0,98.255,31.166,42.89,24.199,HARD,27.0
RUS,57.0,97.767,31.077,42.54,24.15,HARD,26.0
SAI,57.0,98.021,31.244,42.749,24.028,HARD,26.0
VER,57.0,96.373,30.96,41.763,23.65,HARD,21.0
